PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P349
Station name, WonderlandCN2005
Begin Date, 2005-10-28
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P349.cwu.nam14.pos
Offset from source file, 39.31 mm North, -41.12 mm East, -10.53 mm Vertical
Reference position, 40.7310854858 North Latitude, -122.3193518852 East Longitude, 275.40037 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-10-28,0.00, 0.00, 0.00, 2.15, 1.63, 7.34, repro,
2005-10-29,-1.20, 0.07, 1.57, 2.16, 1.67, 7.51, repro,
2005-10-30,-1.63, 1.03, -9.94, 2.15, 1.63, 7.38, repro,
2005-10-31,-2.29, 0.08, -7.61, 2.28, 1.74, 7.78, repro,
2005-11-01,-0.43, -0.03, -0.35, 2.3, 1.76, 7.83, repro,
2005-11-02,-0.91, -0.24, 3.69, 2.26, 1.78, 7.89, repro,
2005-11-03,0.19, -0.16, -5.80, 2.24, 1.75, 7.71, repro,
2005-11-04,-1.96, 1.84, 0.83, 2.24, 1.74, 7.73, repro,
2005-11-05,-2.81, 0.79, -2.64, 2.31, 1.82, 8.02, repro,
2005-11-06,0.79, -0.61, 3.42, 2.28, 1.82, 8, repro,
2005-11-07,1.35, 0.35, -1.62, 2.22, 1.76, 7.7, repro,
2005-11-08,-0.44, 0.89, -0.88, 2.22, 1.76, 7.73, repro,
2005-11-09,2.11, 0.61, -9.87, 2.31, 1.86, 8.1, repro,
2005-11-10,-1.03, 1.35, -10.23, 2.43, 1.89, 8.38, repro,
2005-11-11,-0.13, 0.36, -8.70, 2.24, 1.76, 7.78, repro,
2005-11-12,1.08, -0.24, 0.84, 2.14, 1.69, 7.38, repro,
2005-11-13,0.11, 1.22, -4.43, 2.3, 1.83, 7.95, repro,
2005-11-14,-0.30, -0.81, -10.90, 2.19, 1.68, 7.49, repro,
2005-11-15,-2.55, -0.02, -8.25, 2.15, 1.63, 7.42, repro,
2005-11-16,1.41, -0.11, -22.56, 2.23, 1.72, 7.72, repro,
2005-11-17,3.20, -0.06, -16.93, 2.15, 1.62, 7.37, repro,
2005-11-18,2.52, -0.70, -9.36, 2.14, 1.63, 7.34, repro,
2005-11-19,2.77, -2.20, -6.42, 2.15, 1.62, 7.35, repro,
2005-11-20,-0.82, -1.02, -11.24, 2.15, 1.63, 7.4, repro,
2005-11-21,-2.15, -0.70, -4.08, 2.27, 1.69, 7.8, repro,
2005-11-22,-1.10, 0.93, -8.70, 2.25, 1.72, 7.74, repro,
2005-11-23,0.31, 0.78, -1.16, 2.13, 1.62, 7.33, repro,
2005-11-24,-1.34, 0.38, 4.49, 2.14, 1.63, 7.39, repro,
2005-11-25,1.50, -0.02, 0.73, 2.17, 1.65, 7.53, repro,
2005-11-26,-1.26, -2.54, -5.73, 2.23, 1.72, 7.76, repro,
2005-11-27,-0.66, 0.80, -4.33, 2.19, 1.67, 7.53, repro,
2005-11-28,-1.90, -1.00, -7.16, 2.17, 1.67, 7.51, repro,
2005-11-29,-2.98, -2.45, -8.71, 2.18, 1.67, 7.49, repro,
2005-11-30,0.30, -1.64, -15.05, 2.14, 1.64, 7.37, repro,
2005-12-01,-0.31, -1.44, -5.27, 2.16, 1.65, 7.41, repro,
2005-12-02,-1.64, -0.93, -12.93, 2.19, 1.66, 7.45, repro,
2005-12-03,-0.65, 1.62, -3.63, 2.19, 1.69, 7.52, repro,
2005-12-04,1.89, 1.04, -20.01, 2.14, 1.63, 7.31, repro,
2005-12-05,2.63, 0.75, -20.82, 2.16, 1.64, 7.35, repro,
2005-12-06,-0.09, 0.03, -18.23, 2.2, 1.65, 7.5, repro,
2005-12-07,-0.52, 0.77, -13.50, 2.2, 1.69, 7.58, repro,
2005-12-08,-1.08, -0.29, -8.99, 2.21, 1.69, 7.57, repro,
2005-12-09,2.46, 0.75, -17.02, 2.16, 1.64, 7.38, repro,
2005-12-10,2.89, 1.37, -17.65, 2.17, 1.61, 7.33, repro,
2005-12-11,1.56, 0.05, -10.49, 2.14, 1.61, 7.3, repro,
2005-12-12,0.23, -0.19, -12.08, 2.14, 1.6, 7.29, repro,
2005-12-13,0.00, -0.36, -12.95, 2.15, 1.6, 7.3, repro,
2005-12-14,2.03, 0.05, -17.78, 2.17, 1.65, 7.46, repro,
2005-12-15,0.85, 0.28, -17.42, 2.2, 1.67, 7.52, repro,
2005-12-16,-0.75, -0.14, -5.11, 2.16, 1.61, 7.31, repro,
2005-12-17,-0.73, -0.70, -8.05, 2.22, 1.71, 7.52, repro,
2005-12-18,-0.29, -1.81, -9.92, 2.15, 1.66, 7.3, repro,
2005-12-19,-2.20, 0.51, -15.58, 2.21, 1.76, 7.59, repro,
2005-12-20,1.65, -0.36, -16.37, 2.22, 1.76, 7.64, repro,
2005-12-21,1.09, 0.47, -4.35, 2.19, 1.76, 7.58, repro,
2005-12-22,0.17, 0.45, -7.78, 2.2, 1.76, 7.56, repro,
2005-12-23,1.66, -0.99, -19.24, 2.24, 1.77, 7.65, repro,
2005-12-24,-1.75, 0.63, -19.41, 2.37, 1.92, 8.3, repro,
2005-12-25,1.53, 0.07, -3.97, 2.22, 1.76, 7.7, repro,
2005-12-26,0.23, 0.15, -7.13, 2.18, 1.68, 7.43, repro,
2005-12-27,-1.08, -1.48, -10.98, 2.2, 1.73, 7.56, repro,
2005-12-28,0.56, 2.66, -10.96, 2.21, 1.74, 7.53, repro,
2005-12-29,-1.07, -1.13, -13.80, 2.32, 1.82, 8, repro,
2005-12-30,-0.07, -0.69, -7.09, 2.36, 1.89, 8.24, repro,
2005-12-31,-0.61, 0.41, 4.18, 2.31, 1.84, 8.02, repro,
2006-01-01,2.62, -0.50, -22.64, 2.25, 1.77, 7.75, repro,
2006-01-02,1.22, -0.60, -5.02, 2.15, 1.67, 7.35, repro,
2006-01-03,1.53, 0.08, -22.62, 2.41, 1.98, 8.32, repro,
2006-01-04,1.61, -0.81, -20.37, 2.3, 1.88, 7.86, repro,
2006-01-05,1.05, 0.30, -15.45, 2.26, 1.81, 7.87, repro,
2006-01-06,0.72, -2.02, -25.08, 2.29, 1.83, 7.96, repro,
2006-01-07,-0.06, 0.21, -12.75, 2.19, 1.73, 7.52, repro,
2006-01-08,0.43, 0.92, -21.89, 2.24, 1.79, 7.71, repro,
2006-01-09,1.09, -0.27, -15.27, 2.29, 1.83, 7.93, repro,
2006-01-10,0.85, 0.06, -10.95, 2.28, 1.79, 7.73, repro,
2006-01-11,2.11, -1.67, -13.47, 2.31, 1.82, 7.94, repro,
2006-01-12,1.20, 0.12, -20.34, 2.18, 1.71, 7.44, repro,
2006-01-13,1.08, 0.76, -13.76, 2.32, 1.81, 7.99, repro,
2006-01-14,0.60, -0.82, -11.74, 2.23, 1.8, 7.91, repro,
2006-01-15,1.11, 0.69, -10.31, 2.22, 1.74, 7.73, repro,
2006-01-16,1.82, -1.46, -12.31, 2.26, 1.8, 7.81, repro,
2006-01-17,1.86, -1.11, -14.18, 2.25, 1.79, 7.64, repro,
2006-01-18,2.47, 0.04, -4.71, 2.18, 1.68, 7.46, repro,
2006-01-19,0.59, -0.46, -16.24, 2.19, 1.67, 7.49, repro,
2006-01-20,-0.25, 0.02, -22.79, 2.21, 1.67, 7.54, repro,
2006-01-21,0.98, 0.47, -11.60, 2.16, 1.63, 7.21, repro,
2006-01-22,1.50, -0.91, -8.04, 2.18, 1.62, 7.25, repro,
2006-01-23,3.27, -0.56, -22.36, 2.22, 1.65, 7.53, repro,
2006-01-24,2.39, -0.07, -21.07, 2.2, 1.65, 7.41, repro,
2006-01-25,1.71, 0.08, -16.64, 2.08, 1.58, 7.1, repro,
2006-01-26,0.36, -0.24, -15.96, 2.09, 1.58, 7.1, repro,
2006-01-27,3.01, -1.27, -13.46, 2.09, 1.59, 7.14, repro,
2006-01-28,3.39, -0.99, -17.64, 2.69, 1.97, 8.9, repro,
2006-01-29,0.25, -0.57, -21.10, 2.14, 1.6, 7.27, repro,
2006-01-30,1.51, 0.67, -15.62, 2.11, 1.6, 7.23, repro,
2006-01-31,0.35, -0.23, -17.51, 2.1, 1.58, 7.14, repro,
2006-02-01,2.74, -0.04, -6.61, 2.14, 1.61, 7.31, repro,
2006-02-02,2.70, -1.44, -11.40, 2.12, 1.59, 7.25, repro,
2006-02-03,0.03, -1.26, -13.74, 2.13, 1.59, 7.27, repro,
2006-02-04,-0.07, -0.55, -15.12, 2.16, 1.61, 7.44, repro,
2006-02-05,3.88, 0.58, -20.75, 2.1, 1.57, 7.18, repro,
2006-02-06,2.50, -0.33, -18.67, 2.11, 1.59, 7.28, repro,
2006-02-07,4.45, -0.99, -20.78, 2.11, 1.58, 7.22, repro,
2006-02-08,5.50, -0.39, -29.88, 2.11, 1.57, 7.2, repro,
2006-02-09,2.50, 1.64, -21.45, 2.2, 1.6, 7.45, repro,
2006-02-10,2.71, -0.78, -21.48, 2.26, 1.62, 7.49, repro,
2006-02-11,1.50, -0.28, -17.60, 2.13, 1.59, 7.31, repro,
2006-02-12,3.31, -0.01, -25.84, 2.14, 1.56, 7.24, repro,
2006-02-13,3.21, 2.12, -27.89, 2.13, 1.57, 7.29, repro,
2006-02-14,-0.42, 1.91, -20.14, 2.3, 1.68, 7.95, repro,
2006-02-15,-0.01, -0.20, -16.62, 2.13, 1.57, 7.27, repro,
2006-02-16,0.71, 0.42, -19.02, 2.12, 1.56, 7.2, repro,
2006-02-17,1.01, -1.02, -12.23, 2.15, 1.58, 7.26, repro,
2006-02-18,1.20, -1.23, -15.13, 2.16, 1.58, 7.33, repro,
2006-02-19,2.97, -1.15, -21.50, 2.14, 1.57, 7.26, repro,
2006-02-20,3.01, -1.07, -17.29, 2.12, 1.56, 7.18, repro,
2006-02-21,0.68, 0.32, -14.23, 2.14, 1.58, 7.33, repro,
2006-02-22,1.95, -0.03, -9.47, 2.16, 1.58, 7.32, repro,
2006-02-23,2.40, 0.39, -16.18, 2.13, 1.58, 7.28, repro,
2006-02-24,0.50, -0.59, -13.45, 2.15, 1.59, 7.34, repro,
2006-02-25,0.89, -0.70, -11.91, 2.15, 1.59, 7.33, repro,
2006-02-26,1.21, 0.97, -10.91, 2.13, 1.59, 7.34, repro,
2006-02-27,0.56, 0.52, -2.06, 2.16, 1.62, 7.44, repro,
2006-02-28,1.82, 0.20, 1.96, 2.18, 1.62, 7.46, repro,
2006-03-01,0.94, -0.68, -10.28, 2.26, 1.66, 7.62, repro,
2006-03-02,1.67, -0.16, -11.97, 2.14, 1.61, 7.38, repro,
2006-03-03,0.83, -0.81, -8.09, 2.22, 1.62, 7.61, repro,
2006-03-04,1.44, -0.96, -12.83, 2.12, 1.6, 7.33, repro,
2006-03-05,2.22, 1.28, -20.01, 2.14, 1.62, 7.42, repro,
2006-03-06,1.11, -0.61, -13.04, 2.13, 1.61, 7.36, repro,
2006-03-07,1.76, -0.33, -18.00, 2.1, 1.6, 7.28, repro,
2006-03-08,2.12, -0.37, -23.00, 2.14, 1.61, 7.37, repro,
2006-03-09,1.89, -0.49, -12.95, 2.12, 1.61, 7.4, repro,
2006-03-10,0.95, -0.90, -8.62, 2.12, 1.61, 7.36, repro,
2006-03-11,2.75, -0.54, -4.01, 2.17, 1.63, 7.52, repro,
2006-03-12,0.86, -1.44, -22.51, 2.16, 1.6, 7.37, repro,
2006-03-13,1.74, -0.19, -21.16, 2.18, 1.62, 7.46, repro,
2006-03-14,2.91, -0.46, -13.69, 2.18, 1.64, 7.58, repro,
2006-03-15,2.60, 0.63, -15.38, 2.19, 1.65, 7.59, repro,
2006-03-16,4.00, -0.01, -17.41, 2.25, 1.68, 7.74, repro,
2006-03-17,1.44, -0.18, -12.04, 2.24, 1.68, 7.68, repro,
