PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P380
Station name, OITCampus_OR2005
Begin Date, 2005-04-02
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P380.cwu.nam14.pos
Offset from source file, 34.14 mm North, -11.84 mm East, -7.69 mm Vertical
Reference position, 42.2596703428 North Latitude, -121.7796981421 East Longitude, 1390.82462 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-04-02,0.00, 0.00, 0.00, 2.18, 1.58, 7.24, repro,
2005-04-03,-1.55, 0.15, 11.71, 2.27, 1.65, 7.71, repro,
2005-04-04,-0.28, 0.79, 8.20, 2.24, 1.61, 7.67, repro,
2005-04-05,0.02, 0.11, 6.01, 2.19, 1.62, 7.48, repro,
2005-04-06,-0.19, 0.60, 6.38, 2.27, 1.66, 7.74, repro,
2005-04-07,-1.95, -1.10, 16.03, 2.16, 1.59, 7.35, repro,
2005-04-08,0.06, 0.01, 12.11, 2.21, 1.58, 7.44, repro,
2005-04-09,-0.35, -1.45, 9.74, 2.2, 1.58, 7.41, repro,
2005-04-10,-0.44, 0.09, 6.34, 2.19, 1.58, 7.42, repro,
2005-04-11,-1.41, -0.62, 9.42, 2.22, 1.59, 7.52, repro,
2005-04-12,-0.69, 0.03, 9.92, 2.22, 1.59, 7.49, repro,
2005-04-13,-1.06, -0.81, 9.99, 2.21, 1.57, 7.43, repro,
2005-04-14,-0.82, -0.91, 4.26, 2.31, 1.65, 7.51, repro,
2005-04-15,-1.02, -0.48, -0.18, 2.24, 1.6, 7.37, repro,
2005-04-16,-1.53, 0.03, 7.05, 2.2, 1.58, 7.43, repro,
2005-04-17,-1.83, -0.28, 8.16, 2.16, 1.58, 7.21, repro,
2005-04-18,-0.06, -0.44, 7.07, 2.18, 1.57, 7.22, repro,
2005-04-19,-3.80, -1.19, 12.48, 2.16, 1.57, 7.15, repro,
2005-04-20,-0.69, 0.41, 1.35, 2.2, 1.58, 7.37, repro,
2005-04-21,-0.26, -0.11, 1.86, 2.21, 1.59, 7.46, repro,
2005-04-22,0.29, 0.09, -0.51, 2.15, 1.57, 7.16, repro,
2005-04-23,-0.57, -0.98, 11.07, 2.18, 1.58, 7.25, repro,
2005-04-24,-1.72, 0.07, 3.90, 2.2, 1.58, 7.38, repro,
2005-04-25,-1.12, -0.11, 1.62, 2.21, 1.57, 7.37, repro,
2005-04-26,-1.28, 0.19, 3.34, 2.25, 1.64, 7.65, repro,
2005-04-27,-0.20, -0.14, -2.57, 2.17, 1.58, 7.24, repro,
2005-04-28,-1.89, 0.02, 5.50, 2.2, 1.61, 7.35, repro,
2005-04-29,-1.63, -0.06, 3.57, 2.16, 1.58, 7.21, repro,
2005-04-30,0.74, -0.06, 3.55, 2.16, 1.56, 7.13, repro,
2005-05-01,-0.70, -0.01, 2.67, 2.21, 1.58, 7.41, repro,
2005-05-02,1.63, 0.15, -0.78, 2.16, 1.56, 7.12, repro,
2005-05-03,0.06, 0.25, 4.14, 2.17, 1.61, 7.36, repro,
2005-05-04,-1.13, 2.31, 4.99, 2.14, 1.56, 7.14, repro,
2005-05-05,-0.23, 1.28, 5.93, 2.14, 1.56, 7.18, repro,
2005-05-06,0.03, -0.38, 4.09, 2.14, 1.55, 7.1, repro,
2005-05-07,1.46, 1.34, 4.45, 2.19, 1.6, 7.3, repro,
2005-05-08,0.11, 0.97, 2.00, 2.14, 1.56, 7.13, repro,
2005-05-09,1.67, 1.11, -1.05, 2.16, 1.56, 7.16, repro,
2005-05-10,-1.40, 0.82, 4.97, 2.2, 1.6, 7.41, repro,
2005-05-11,0.08, 0.25, 2.85, 2.24, 1.65, 7.55, repro,
2005-05-12,0.98, -0.42, -4.08, 2.23, 1.66, 7.61, repro,
2005-05-13,0.94, -0.49, -3.19, 2.27, 1.67, 7.59, repro,
2005-05-14,0.93, 0.38, 5.77, 2.22, 1.66, 7.45, repro,
2005-05-15,1.23, 1.35, 4.53, 2.19, 1.64, 7.42, repro,
2005-05-16,-0.31, 0.49, 9.81, 2.16, 1.62, 7.32, repro,
2005-05-17,1.60, 1.35, 5.85, 2.25, 1.64, 7.41, repro,
