PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P434
Station name, Big_Chief_WA2008
Begin Date, 2008-06-20
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P434.cwu.nam14.pos
Offset from source file, 7.38 mm North, 15.51 mm East, -4.30 mm Vertical
Reference position, 47.7402024349 North Latitude, -121.0756090345 East Longitude, 1698.03646 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-06-20,0.00, 0.00, 0.00, 2.25, 1.51, 6.9, repro,
2008-06-21,0.69, 0.38, -1.25, 2.27, 1.53, 7, repro,
2008-06-22,-0.52, 0.70, -7.46, 2.27, 1.53, 6.99, repro,
2008-06-23,-1.33, 0.93, -1.63, 2.24, 1.52, 6.85, repro,
2008-06-24,-1.32, 0.39, -3.45, 2.23, 1.51, 6.82, repro,
2008-06-25,-1.90, -0.86, 8.05, 2.26, 1.51, 6.88, repro,
2008-06-26,-1.65, -0.10, 2.58, 2.26, 1.56, 7.03, repro,
2008-06-27,-1.78, -0.58, -3.01, 2.25, 1.53, 6.9, repro,
2008-06-28,-0.70, -0.16, -1.42, 2.27, 1.53, 6.97, repro,
2008-06-29,0.02, -0.55, 3.46, 2.27, 1.59, 7.04, repro,
2008-06-30,-0.68, -1.12, 1.60, 2.33, 1.59, 7.21, repro,
2008-07-01,0.64, 0.75, -4.81, 2.26, 1.52, 6.93, repro,
2008-07-02,0.04, -1.26, 7.92, 2.25, 1.52, 6.92, repro,
2008-07-03,-3.05, -1.20, 9.20, 2.33, 1.57, 7.16, repro,
2008-07-04,-3.62, 0.42, 6.28, 2.24, 1.53, 6.89, repro,
2008-07-05,-2.14, -1.26, 3.80, 2.23, 1.51, 6.81, repro,
2008-07-06,-1.92, -0.18, 7.20, 2.26, 1.51, 6.9, repro,
2008-07-07,-2.01, -1.53, 6.91, 2.25, 1.51, 6.87, repro,
2008-07-08,-2.27, -0.63, -1.23, 2.24, 1.52, 6.87, repro,
2008-07-09,-1.13, -1.86, 9.36, 2.25, 1.52, 6.9, repro,
2008-07-10,0.39, -2.12, 6.35, 2.3, 1.55, 6.95, repro,
2008-07-11,-2.10, -1.00, 9.61, 2.34, 1.57, 7.13, repro,
2008-07-12,-0.55, -0.63, 8.47, 2.25, 1.51, 6.86, repro,
2008-07-13,-1.78, -1.31, 7.13, 2.26, 1.53, 6.97, repro,
2008-07-14,-2.38, 0.01, 6.31, 2.25, 1.52, 6.9, repro,
2008-07-15,-0.84, -0.65, 8.73, 2.26, 1.52, 6.87, repro,
