PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P441
Station name, KendallEleWA2008
Begin Date, 2008-09-03
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P441.cwu.nam14.pos
Offset from source file, 10.44 mm North, 18.88 mm East, 0.93 mm Vertical
Reference position, 48.9159786876 North Latitude, -122.1396421946 East Longitude, 115.20583 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-03,0.00, 0.00, 0.00, 2.44, 1.61, 7.34, repro,
2008-09-04,-1.28, -1.13, 7.03, 2.65, 1.71, 8.02, repro,
2008-09-05,1.86, -0.15, 8.42, 2.51, 1.63, 7.44, repro,
2008-09-06,2.06, -1.39, 6.04, 2.41, 1.58, 7.19, repro,
2008-09-07,-0.28, -0.18, 7.08, 2.41, 1.56, 7.2, repro,
2008-09-08,2.61, -0.58, -0.60, 2.45, 1.62, 7.41, repro,
2008-09-09,0.81, -1.09, 2.97, 2.55, 1.63, 7.52, repro,
2008-09-10,1.06, -1.14, 6.97, 2.46, 1.62, 7.37, repro,
2008-09-11,-0.30, -0.46, 10.55, 2.53, 1.66, 7.54, repro,
2008-09-12,2.83, -1.03, 11.81, 2.41, 1.57, 7.25, repro,
2008-09-13,1.85, -0.59, 10.36, 2.41, 1.58, 7.26, repro,
2008-09-14,2.39, -0.42, 6.45, 2.45, 1.63, 7.43, repro,
2008-09-15,0.76, -0.42, 5.86, 2.45, 1.58, 7.3, repro,
2008-09-16,0.22, -0.87, 2.88, 2.41, 1.6, 7.35, repro,
2008-09-17,2.95, 0.16, 2.66, 2.48, 1.62, 7.46, repro,
2008-09-18,0.63, -1.14, 6.74, 2.38, 1.55, 7.16, repro,
2008-09-19,1.30, -0.69, 6.01, 2.41, 1.59, 7.25, repro,
2008-09-20,1.19, -1.37, 11.79, 2.41, 1.57, 7.25, repro,
2008-09-21,0.48, 0.06, 15.27, 2.46, 1.59, 7.3, repro,
2008-09-22,1.41, -0.44, 11.28, 2.36, 1.54, 7.03, repro,
2008-09-23,1.47, -1.46, 10.13, 2.38, 1.55, 7.14, repro,
2008-09-24,1.71, -1.27, 8.81, 2.51, 1.65, 7.51, repro,
2008-09-25,-4.14, -0.05, 9.48, 2.42, 1.59, 7.32, repro,
2008-09-26,1.62, -0.24, 4.88, 2.54, 1.68, 7.54, repro,
2008-09-27,2.69, 0.59, 0.01, 2.45, 1.59, 7.27, repro,
2008-09-28,2.15, -0.10, 2.47, 2.48, 1.58, 7.2, repro,
2008-09-29,2.41, -1.00, 6.67, 2.38, 1.55, 7.1, repro,
2008-09-30,3.76, -1.24, -1.23, 2.43, 1.59, 7.3, repro,
2008-10-01,-0.96, -0.18, 4.37, 2.46, 1.62, 7.38, repro,
2008-10-02,0.65, -2.49, 12.96, 2.47, 1.6, 7.26, repro,
2008-10-03,-0.54, -3.18, 12.02, 2.52, 1.65, 7.43, repro,
2008-10-04,2.75, -1.73, 20.03, 2.44, 1.59, 7.23, repro,
2008-10-05,-1.04, -1.91, 6.78, 2.39, 1.55, 7.14, repro,
2008-10-06,0.84, -1.46, 7.73, 2.41, 1.56, 7.17, repro,
2008-10-07,2.66, -0.17, 9.44, 2.5, 1.59, 7.33, repro,
2008-10-08,-0.75, -1.96, 6.34, 2.46, 1.6, 7.32, repro,
2008-10-09,1.24, -0.38, 4.70, 2.34, 1.55, 7.11, repro,
2008-10-10,1.50, 0.26, 1.65, 2.31, 1.53, 6.97, repro,
2008-10-11,3.10, 0.00, -3.47, 2.35, 1.54, 7.09, repro,
2008-10-12,3.30, 0.22, 3.44, 2.39, 1.57, 7.14, repro,
2008-10-13,1.67, -1.47, 9.25, 2.39, 1.56, 7.24, repro,
2008-10-14,1.74, -1.25, 7.09, 2.33, 1.54, 7.07, repro,
2008-10-15,3.95, -0.69, -2.79, 2.38, 1.56, 7.2, repro,
2008-10-16,3.72, -0.20, 6.41, 2.42, 1.57, 7.28, repro,
2008-10-17,-0.01, -0.85, 1.04, 2.38, 1.56, 7.24, repro,
2008-10-18,0.64, -0.45, 5.91, 2.37, 1.56, 7.22, repro,
2008-10-19,1.35, -1.25, 5.75, 2.34, 1.53, 7.08, repro,
2008-10-20,-2.03, -2.39, 9.13, 2.32, 1.53, 7.08, repro,
2008-10-21,-0.98, -1.37, 1.69, 2.38, 1.55, 7.21, repro,
2008-10-22,0.76, -0.55, -0.15, 2.36, 1.55, 7.17, repro,
2008-10-23,2.27, 0.40, 8.58, 2.36, 1.54, 7.16, repro,
2008-10-24,0.13, -1.23, 13.09, 2.38, 1.59, 7.3, repro,
2008-10-25,1.94, -0.83, 10.33, 2.32, 1.54, 7.12, repro,
2008-10-26,3.96, -1.34, -2.53, 2.32, 1.53, 7.02, repro,
2008-10-27,2.59, -1.26, 2.92, 2.44, 1.59, 7.28, repro,
2008-10-28,2.80, -0.73, 3.65, 2.46, 1.57, 7.24, repro,
2008-10-29,0.37, -0.96, 5.01, 2.53, 1.64, 7.41, repro,
2008-10-30,-0.23, -1.99, 8.68, 2.38, 1.62, 7.36, repro,
2008-10-31,1.34, -1.33, 7.24, 2.34, 1.54, 7.16, repro,
2008-11-01,0.46, 3.05, 14.59, 16.09, 12.81, 49.02, repro,
2009-03-05,0.76, 0.85, 4.57, 4.97, 3.33, 15.03, repro,
2009-03-06,3.49, 2.07, 8.21, 2.35, 1.65, 7.44, repro,
2009-03-07,-0.69, 0.80, -2.78, 2.28, 1.57, 7.16, repro,
2009-03-08,2.69, 0.28, -1.98, 2.26, 1.56, 7.09, repro,
2009-03-09,3.32, 1.51, -3.26, 2.36, 1.62, 7.39, repro,
2009-03-10,3.11, 1.94, -3.13, 2.33, 1.61, 7.25, repro,
2009-03-11,3.42, 1.90, -6.88, 2.3, 1.58, 7.19, repro,
2009-03-12,1.40, 1.37, -3.34, 2.29, 1.58, 7.15, repro,
2009-03-13,1.09, 0.47, -1.25, 2.37, 1.63, 7.46, repro,
2009-03-14,-0.99, -0.82, 3.68, 2.31, 1.61, 7.23, repro,
2009-03-15,0.27, -0.33, 7.66, 2.34, 1.6, 7.28, repro,
2009-03-16,1.15, 0.42, -1.96, 2.5, 1.7, 7.71, repro,
2009-03-17,-0.49, -0.15, 1.27, 2.32, 1.6, 7.25, repro,
2009-03-18,0.20, 1.60, -6.02, 2.34, 1.59, 7.28, repro,
2009-03-19,-0.82, 1.33, -4.60, 2.31, 1.61, 7.27, repro,
2009-03-20,3.18, 0.19, 6.26, 2.3, 1.57, 7.16, repro,
2009-03-21,1.44, 0.51, -1.89, 2.28, 1.55, 7.07, repro,
2009-03-22,2.16, -0.48, 2.48, 2.34, 1.6, 7.3, repro,
2009-03-23,1.32, 1.19, -1.22, 2.39, 1.62, 7.42, repro,
2009-03-24,0.85, 0.24, -7.43, 2.35, 1.62, 7.35, repro,
2009-03-25,1.75, -0.20, -3.33, 2.29, 1.59, 7.18, repro,
2009-03-26,1.28, 1.16, -0.16, 2.38, 1.6, 7.3, repro,
2009-03-27,2.47, 1.16, -3.85, 2.41, 1.61, 7.31, repro,
2009-03-28,1.93, 1.11, 1.81, 2.42, 1.65, 7.46, repro,
2009-03-29,2.92, 0.36, 4.43, 2.49, 1.68, 7.64, repro,
2009-03-30,0.87, 0.94, 3.93, 2.39, 1.63, 7.38, repro,
2009-03-31,0.33, -1.86, -7.85, 2.46, 1.65, 7.5, repro,
2009-04-01,2.41, 1.68, -1.62, 2.4, 1.62, 7.35, repro,
2009-04-02,0.24, 1.73, 6.79, 2.43, 1.65, 7.54, repro,
2009-04-03,2.22, 1.26, -1.54, 2.46, 1.66, 7.55, repro,
2009-04-04,2.01, 1.67, -4.06, 2.42, 1.62, 7.41, repro,
2009-04-05,2.04, 0.75, -7.82, 2.37, 1.61, 7.3, repro,
2009-04-06,1.30, 2.19, -4.56, 2.37, 1.58, 7.22, repro,
2009-04-07,1.70, 1.69, -2.71, 2.45, 1.65, 7.47, repro,
2009-04-08,2.44, 1.68, 2.06, 2.35, 1.57, 7.17, repro,
2009-04-09,1.10, 2.15, 2.01, 2.4, 1.61, 7.39, repro,
2009-04-10,0.86, 0.83, -1.47, 2.44, 1.66, 7.61, repro,
2009-04-11,0.13, 0.66, -0.54, 2.42, 1.62, 7.42, repro,
2009-04-12,0.68, -0.12, 1.00, 2.38, 1.61, 7.41, repro,
2009-04-13,1.03, 0.39, -8.62, 2.39, 1.59, 7.3, repro,
2009-04-14,0.51, -0.06, 0.02, 2.41, 1.62, 7.48, repro,
2009-04-15,2.35, 1.96, -3.13, 2.37, 1.59, 7.33, repro,
2009-04-16,1.60, 1.42, -12.12, 2.37, 1.61, 7.4, repro,
2009-04-17,-0.95, -1.41, -10.08, 2.36, 1.61, 7.35, repro,
2009-04-18,2.29, -0.10, -10.32, 2.37, 1.61, 7.39, repro,
2009-04-19,1.19, 1.24, -6.82, 2.39, 1.61, 7.44, repro,
2009-04-20,1.92, 2.50, -4.12, 2.45, 1.64, 7.63, repro,
2009-04-21,3.15, 0.52, -4.45, 2.37, 1.59, 7.36, repro,
2009-04-22,2.84, -2.19, 0.12, 2.38, 1.6, 7.42, repro,
2009-04-23,0.69, 1.03, -1.60, 2.54, 1.71, 7.87, repro,
2009-04-24,2.87, 1.53, 3.67, 2.47, 1.68, 7.71, repro,
2009-04-25,2.51, 1.53, 1.48, 2.39, 1.59, 7.45, repro,
2009-04-26,2.33, 1.89, -7.38, 2.38, 1.57, 7.35, repro,
2009-04-27,4.32, 1.08, -8.12, 2.47, 1.64, 7.6, repro,
2009-04-28,3.00, 1.40, -0.53, 2.41, 1.6, 7.48, repro,
